Rank,Name,Games,Plays,Yds,Avg,TDs,Ydspgm,Wins,Losses,Ties,Year,Team Code
30,Cincinnati,13,941,5641,5.99,63,433.92,10,3,0,2007,140
52,Cincinnati,14,927,5189,5.6,45,370.64,11,3,0,2008,140
11,Cincinnati,13,833,5817,6.98,66,447.46,12,1,0,2009,140
32,Cincinnati,12,837,5008,5.98,42,417.33,4,8,0,2010,140
61,Cincinnati,13,892,5014,5.62,55,385.69,10,3,0,2011,140
36,Cincinnati,13,863,5723,6.63,53,440.23,10,3,0,2012,140
30,Clemson,13,955,5466,5.72,45,420.46,9,4,0,2003,147
110,Clemson,11,735,3252,4.42,27,295.64,6,5,0,2004,147
53,Clemson,12,827,4615,5.58,35,384.58,8,4,0,2005,147
15,Clemson,13,822,5342,6.5,55,410.92,8,5,0,2006,147
52,Clemson,13,963,5242,5.44,51,403.23,9,4,0,2007,147
87,Clemson,13,831,4282,5.15,40,329.38,7,6,0,2008,147
74,Clemson,14,886,5073,5.73,54,362.36,9,5,0,2009,147
88,Clemson,13,866,4350,5.02,39,334.62,6,7,0,2010,147
26,Clemson,14,1055,6171,5.85,58,440.79,10,4,0,2011,147
9,Clemson,13,1062,6665,6.28,68,512.69,11,2,0,2012,147
21,Colorado St.,13,900,5706,6.34,49,438.92,7,6,0,2003,156
58,Colorado St.,11,742,4102,5.53,31,372.91,4,7,0,2004,156
38,Colorado St.,12,822,4896,5.96,41,408,6,6,0,2005,156
100,Colorado St.,12,735,3535,4.81,26,294.58,4,8,0,2006,156
71,Colorado St.,12,838,4546,5.42,37,378.83,3,9,0,2007,156
41,Colorado St.,13,883,5146,5.83,40,395.85,7,6,0,2008,156
79,Colorado St.,12,741,4214,5.69,33,351.17,3,9,0,2009,156
87,Colorado St.,12,785,4018,5.12,22,334.83,3,9,0,2010,156
87,Colorado St.,12,796,4217,5.3,32,351.42,3,9,0,2011,156
100,Colorado St.,12,750,4068,5.42,33,339,4,8,0,2012,156
66,Colorado,12,887,4473,5.04,44,372.75,5,7,0,2003,157
85,Colorado,13,866,4417,5.1,34,339.77,8,5,0,2004,157
87,Colorado,13,881,4330,4.91,33,333.08,7,6,0,2005,157
102,Colorado,12,715,3497,4.89,20,291.42,2,10,0,2006,157
72,Colorado,13,961,4921,5.12,44,378.54,6,7,0,2007,157
95,Colorado,12,843,3822,4.53,32,318.5,5,7,0,2008,157
104,Colorado,12,852,3772,4.43,34,314.33,3,9,0,2009,157
79,Colorado,12,847,4316,5.1,37,359.67,5,7,0,2010,157
92,Colorado,13,851,4502,5.29,32,346.31,3,10,0,2011,157
116,Colorado,12,829,3633,4.38,28,302.75,1,11,0,2012,157
8,Connecticut,12,946,5730,6.06,54,477.5,9,3,0,2003,164
19,Connecticut,12,885,5157,5.83,44,429.75,8,4,0,2004,164
94,Connecticut,11,793,3567,4.5,34,324.27,5,6,0,2005,164
73,Connecticut,12,799,3887,4.86,34,323.92,4,8,0,2006,164
90,Connecticut,13,895,4513,5.04,40,347.15,9,4,0,2007,164
62,Connecticut,13,885,4629,5.23,37,356.08,8,5,0,2008,164
57,Connecticut,13,903,5034,5.57,52,387.23,8,5,0,2009,164
96,Connecticut,13,858,4235,4.94,38,325.77,8,5,0,2010,164
108,Connecticut,12,825,3758,4.56,32,313.17,5,7,0,2011,164
110,Connecticut,12,807,3820,4.73,24,318.33,5,7,0,2012,164
85,Duke,12,906,4116,4.54,25,343,4,8,0,2003,193
117,Duke,11,700,2931,4.19,21,266.45,2,9,0,2004,193
116,Duke,11,719,2729,3.8,22,248.09,1,10,0,2005,193
105,Duke,12,770,3401,4.42,24,283.42,0,12,0,2006,193
117,Duke,12,759,3253,4.29,29,271.08,1,11,0,2007,193
102,Duke,12,829,3646,4.4,29,303.83,4,8,0,2008,193
69,Duke,12,840,4422,5.26,35,368.5,5,7,0,2009,193
59,Duke,12,872,4576,5.25,34,381.33,3,8,0,2010,193
79,Duke,12,858,4395,5.12,35,366.25,3,9,0,2011,193
55,Duke,13,990,5319,5.37,50,409.15,6,7,0,2012,193
79,East Carolina,14,936,4765,5.09,38,340.36,9,5,0,2008,196
67,East Carolina,14,981,5172,5.27,45,369.43,9,5,0,2009,196
25,East Carolina,13,990,5689,5.75,62,437.62,6,7,0,2010,196
50,East Carolina,12,921,4742,5.15,40,395.17,5,7,0,2011,196
56,East Carolina,13,947,5311,5.61,52,408.54,8,5,0,2012,196
116,Eastern Mich.,12,781,3246,4.16,23,270.5,3,9,0,2003,204
21,Eastern Mich.,11,877,4707,5.37,37,427.91,4,7,0,2004,204
80,Eastern Mich.,11,781,3805,4.87,27,345.91,4,7,0,2005,204
107,Eastern Mich.,12,744,3315,4.46,17,276.25,1,11,0,2006,204
95,Eastern Mich.,12,819,4050,4.95,39,337.5,4,8,0,2007,204
25,Eastern Mich.,12,917,5010,5.46,40,417.5,3,9,0,2008,204
116,Eastern Mich.,12,748,3340,4.47,24,278.33,0,12,0,2009,204
91,Eastern Mich.,12,793,4001,5.05,31,333.42,2,10,0,2010,204
93,Eastern Mich.,12,777,4140,5.33,31,345,6,6,0,2011,204
101,Eastern Mich.,12,756,4029,5.33,33,335.75,2,10,0,2012,204
na,Fla. Atlantic,12,837,4721,5.58,33,393.42,9,3,0,2004,229
na,Fla. Atlantic,11,720,3215,4.66,20,292.27,2,9,0,2005,229
98,Fla. Atlantic,12,804,3568,4.44,22,297.33,5,7,0,2006,229
41,Fla. Atlantic,13,967,5422,5.61,50,417.08,8,5,0,2007,229
42,Fla. Atlantic,13,873,5116,5.86,42,393.54,7,6,0,2008,229
15,Fla. Atlantic,12,878,5185,5.91,44,432.08,5,7,0,2009,229
107,Fla. Atlantic,12,741,3631,4.9,26,302.58,4,8,0,2010,229
120,Fla. Atlantic,12,738,2985,4.04,19,248.75,1,11,0,2011,229
98,Fla. Atlantic,12,826,4208,5.09,32,350.67,3,9,0,2012,229
100,FIU,12,856,3851,4.5,35,320.92,3,9,0,2009,231
46,FIU,13,906,5136,5.67,46,395.08,7,6,0,2010,231
82,FIU,13,867,4687,5.41,37,360.54,8,5,0,2011,231
76,FIU,12,858,4605,5.37,40,383.75,3,9,0,2012,231
37,Florida St.,13,908,5237,5.77,52,402.85,10,3,0,2003,234
61,Florida St.,12,862,4470,5.19,33,372.5,9,3,0,2004,234
59,Florida St.,13,902,4896,5.43,46,376.62,8,5,0,2005,234
70,Florida St.,13,802,4294,5.35,42,330.31,7,6,0,2006,234
80,Florida St.,13,912,4800,5.26,32,369.23,7,6,0,2007,234
51,Florida St.,13,870,4834,5.56,51,371.85,9,4,0,2008,234
28,Florida St.,13,859,5478,6.38,48,421.38,7,6,0,2009,234
60,Florida St.,14,897,5338,5.95,53,381.29,9,4,0,2010,234
77,Florida St.,13,820,4799,5.85,48,369.15,9,4,0,2011,234
19,Florida St.,14,941,6601,7.01,68,471.5,12,2,0,2012,234
46,Florida,13,860,5088,5.92,47,391.38,8,5,0,2003,235
22,Florida,12,822,5123,6.23,49,426.92,7,5,0,2004,235
61,Florida,12,840,4481,5.33,43,373.42,9,3,0,2005,235
19,Florida,14,875,5545,6.34,57,396.07,13,1,0,2006,235
14,Florida,13,848,5943,7.01,75,457.15,9,4,0,2007,235
15,Florida,14,874,6231,7.13,82,445.07,13,1,0,2008,235
6,Florida,14,919,6410,6.97,63,457.86,13,1,0,2009,235
82,Florida,13,885,4561,5.15,52,350.85,8,5,0,2010,235
105,Florida,13,789,4273,5.42,37,328.69,7,6,0,2011,235
103,Florida,13,827,4347,5.26,39,334.38,11,2,0,2012,235
94,Georgia Tech,13,888,4298,4.84,32,330.62,7,6,0,2003,255
80,Georgia Tech,12,832,4157,5,31,346.42,7,5,0,2004,255
78,Georgia Tech,12,882,4188,4.75,27,349,7,5,0,2005,255
67,Georgia Tech,14,895,4649,5.19,45,332.07,9,5,0,2006,255
69,Georgia Tech,13,911,5004,5.49,39,384.92,7,6,0,2007,255
50,Georgia Tech,13,805,4842,6.01,40,372.46,9,4,0,2008,255
26,Georgia Tech,14,960,5910,6.16,62,422.14,11,3,0,2009,255
36,Georgia Tech,13,921,5294,5.75,42,407.23,6,7,0,2010,255
18,Georgia Tech,13,885,5964,6.74,59,458.77,8,5,0,2011,255
35,Georgia Tech,14,1002,6175,6.16,63,441.07,7,7,0,2012,255
58,Georgia,14,1023,5324,5.2,40,380.29,11,3,0,2003,257
31,Georgia,12,826,4854,5.88,41,404.5,10,2,0,2004,257
49,Georgia,13,818,5085,6.22,45,391.15,10,3,0,2005,257
90,Georgia,13,768,4053,5.28,40,311.77,9,4,0,2006,257
74,Georgia,13,874,4883,5.59,53,375.62,11,2,0,2007,257
22,Georgia,13,826,5538,6.7,52,426,10,3,0,2008,257
75,Georgia,13,793,4708,5.94,45,362.15,8,5,0,2009,257
56,Georgia,13,814,5005,6.15,51,385,6,7,0,2010,257
39,Georgia,14,1016,5719,5.63,54,408.5,10,4,0,2011,257
22,Georgia,14,924,6547,7.09,72,467.64,12,2,0,2012,257
6,Hawaii,14,1072,6834,6.38,63,488.14,9,5,0,2003,277
17,Hawaii,13,900,5649,6.28,63,434.54,8,5,0,2004,277
11,Hawaii,12,857,5714,6.67,48,476.17,5,7,0,2005,277
1,Hawaii,14,913,7829,8.58,89,559.21,11,3,0,2006,277
3,Hawaii,13,942,6657,7.07,76,512.08,12,1,0,2007,277
72,Hawaii,14,902,4841,5.37,45,345.79,7,7,0,2008,277
14,Hawaii,13,861,5687,6.61,37,437.46,6,7,0,2009,277
6,Hawaii,14,926,7009,7.57,72,500.64,10,4,0,2010,277
43,Hawaii,13,899,5254,5.84,56,404.15,6,7,0,2011,277
118,Hawaii,12,837,3569,4.26,31,297.42,3,9,0,2012,277
