,,,,,,
Rk,,From,To,G,Pos,AV
226,Rick Kane,1977,1985,99,RB,18
227,Max Messner,1960,1963,43,LB,18
228,Ernie Price,1973,1977,62,DE,18
229,David Sloan,1995,2001,90,TE,18
230,Wayne Smith,1980,1982,37,DB,18
231,Rich Strenger,1983,1987,49,T,18
232,John Woodcock,1976,1980,52,DT,18
233,Vince Banonis,1951,1953,36,C,17
234,Scott Conover,1991,1996,66,T,17
235,Dick Flanagan,1950,1952,31,LB,17
236,Pat Harder,1951,1952,23,FB,17
237,Tracy Hayworth,1990,1995,68,LB,17
238,Earl Holmes,2003,2005,43,LB,17
239,Mike Johnson,1994,1995,32,LB,17
,,,,,,
Rk,,From,To,G,Pos,AV
240,James A. Jones,1999,2000,32,DT,17
241,Paris Lenon,2006,2008,48,LB,17
242,Pete Mandley,1985,1988,59,WR,17
243,Stephen Tulloch,2011,2012,32,LB,17
244,Kerwin Waldroup,1996,1998,40,DE,17
245,Mike Furrey,2006,2008,41,DB,16
246,Kenoy Kennedy,2005,2007,42,DB,16
247,Ed Mooney,1968,1971,56,LB,16
248,Jon Morris,1975,1977,42,C,16
249,Herman Weaver,1970,1976,97,P,16
250,Corey Williams,2010,2012,37,DT,16
251,Bob Bell,1971,1973,41,DT,15
252,Luther Bradley,1978,1981,56,DB,15
253,Shawn Bryson,2003,2006,54,RB,15
254,Nate Burleson,2010,2012,36,WR,15
255,Dennis Gaubatz,1963,1964,28,LB,15
256,Dan LaRose,1961,1963,37,T,15
257,Zefross Moss,1995,1996,29,T,15
258,Jim Ninowski,1960,1961,24,QB,15
259,Eric Sanders,1987,1992,80,T,15
260,Larry Tharpe,1992,1998,48,T,15
261,Henry Thomas,1995,1996,31,DT,15
262,Walt Williams,1977,1980,57,DB,15
263,Fernando Bryant,2004,2007,38,DB,14
264,Lew Carpenter,1954,1955,23,HB,14
265,Az-Zahir Hakim,2002,2006,42,WR,14
266,Jerry Holmes,1988,1989,32,DB,14
267,Billy Howard,1974,1976,38,DE,14
268,John Jett,1997,2002,91,P,14
269,Rocky Rasley,1969,1973,48,G,14
,,,,,,
Rk,,From,To,G,Pos,AV
270,Cory Schlesinger,1997,2004,109,FB,14
271,Jahvid Best,2010,2011,22,RB,13
272,Ray Brown,2002,2003,32,G,13
273,Bill Cottrell,1967,1970,52,T,13
274,James Davis,2003,2005,40,LB,13
275,Justin Durant,2011,2012,29,LB,13
276,James Griffin,1986,1989,60,DB,13
277,Terrence Holt,2003,2006,53,DB,13
278,Larry Lee,1981,1985,62,G,13
279,Antonio London,1993,1997,75,LB,13
280,Amos Marsh,1965,1967,41,HB,13
281,Devon Mitchell,1986,1988,26,DB,13
282,Pat Swilling,1993,1994,30,LB,13
283,Bill Triplett,1968,1972,54,RB,13
284,Ken Webb,1958,1962,50,HB,13
285,Doug Widell,1994,1995,27,G,13
286,Blaine Earon,1952,1953,18,DE,12
287,Bob Gagliano,1989,1990,20,QB,12
288,Mel Jenkins,1991,1992,32,DB,12
289,John Henry Johnson,1957,1959,31,FB,12
290,Victor P. Jones,1989,1994,85,LB,12
291,Matt Joyce,2001,2004,56,G,12
292,Erik Kramer,1991,1993,25,QB,12
293,Ray Krouse,1956,1957,24,DT,12
294,Todd Lyght,2001,2002,32,DB,12
295,Andy Miketa,1954,1955,24,C,12
296,Denis Moore,1967,1969,31,DT,12
297,Maurice Morris,2009,2011,44,RB,12
298,Tom Nowatzke,1965,1968,56,FB,12
299,Lawrence Pete,1989,1993,61,NT,12
,,,,,,
Rk,,From,To,G,Pos,AV
300,Tom Skladany,1978,1982,55,P,12
301,Amari Spievey,2010,2012,36,DB,12
302,Dave Thompson,1971,1973,35,T,12
303,Dewayne White,2007,2009,36,DE,12
304,Les Bingaman,1951,1951,6,DG,11
305,Reggie D. Brown,1996,1997,26,LB,11
306,Corey Harris,2002,2003,29,DB,11
307,Sammie Lee Hill,2009,2012,59,DT,11
308,Chuck Long,1986,1988,22,QB,11
309,Aubrey Matthews,1990,1994,54,WR,11
310,Shaun McDonald,2007,2008,28,WR,11
311,Edwin Mulitalo,2007,2008,26,G,11
312,Julian Peterson,2009,2010,31,LB,11
313,Ken Russell,1957,1959,26,T,11
314,Clarence Self,1950,1951,24,DB,11
315,Bracy Walker,2002,2005,62,DB,11
316,Mike Wells,1995,1997,47,DT,11
317,Carl Bland,1985,1988,40,WR,10
318,Harry Colon,1992,1997,55,DB,10
319,Donte Curry,2002,2006,68,LB,10
320,Guy Dennis,1973,1975,34,G,10
321,Duane Galloway,1986,1987,26,DB,10
322,Dan Goich,1969,1970,28,DT,10
323,Andre' Goodman,2002,2005,43,DB,10
324,Craig Hertwig,1975,1977,37,T,10
325,Wally Hilgenberg,1964,1966,41,LB,10
326,Gordon Jolley,1972,1975,32,G,10
327,Steve Junker,1957,1960,24,E,10
328,Scott Kowalkowski,1994,2001,126,LB,10
329,Vernon Maxwell,1985,1987,36,LB,10
,,,,,,
Rk,,From,To,G,Pos,AV
330,Benny Ricardo,1976,1979,40,K,10
331,Jim Salsbury,1955,1956,23,G,10
332,Tony Scheffler,2010,2012,45,TE,10
333,J.D. Smith,1964,1966,21,T,10
334,Roger Zatkoff,1957,1958,24,LB,10
335,Robert Bailey,1997,2001,56,DB,9
336,Scott Barrows,1986,1988,44,G,9
337,Bill Bowman,1954,1956,18,FB,9
338,Charlie Bradshaw,1967,1968,27,T,9
339,Barrett Brooks,1999,2000,31,T,9
340,Kevin Brooks,1989,1990,21,DT,9
341,Lamar Campbell,1998,2002,64,DB,9
342,Ben Davis,1974,1976,34,DB,9
343,Bob Dove,1953,1954,16,DE,9
344,Lawrence Gaines,1976,1978,27,RB,9
345,Mel J. Gray,1989,1994,68,RB,9
346,Mike Hennigan,1973,1975,26,LB,9
347,Floyd Jaszewski,1950,1951,24,T,9
348,Greg Jeffries,1993,1998,83,DB,9
349,Angelo King,1984,1987,44,LB,9
350,Teddy Lehman,2004,2007,37,LB,9
351,Jack Lininger,1950,1951,24,LB,9
352,Van Malone,1994,1997,55,DB,9
353,Don Muhlbach,2004,2012,130,C,9
354,Shelton Robinson,1986,1988,40,LB,9
355,Kurt Schulz,2000,2001,22,DB,9
356,Jim Simon,1963,1965,41,G,9
357,Bill Swain,1968,1969,26,LB,9
358,Terry Taylor,1989,1991,28,DB,9
359,Mike Utley,1989,1991,32,G,9
,,,,,,
Rk,,From,To,G,Pos,AV
360,Brian Walker,2002,2003,26,DB,9
361,Dave Whitsell,1958,1960,35,DB,9
362,Scotty Anderson,2001,2003,34,WR,8
363,John Baker,1968,1968,13,DE,8
364,Mike Bundra,1962,1963,26,DT,8
365,Nick Eddy,1968,1972,29,RB,8
366,Mike Farr,1990,1992,42,WR,8
367,Dave Gallagher,1978,1979,11,DE,8
368,John Greene,1950,1950,12,E,8
369,Jim Hill,1951,1952,21,DB,8
370,Shaun Hill,2010,2010,11,QB,8
371,Dave Krieg,1994,1994,14,QB,8
372,Robert Massey,1994,1995,32,DB,8
373,Willie McClung,1960,1961,14,T,8
374,John Mendenhall,1980,1980,15,DT,8
375,Joe Reed,1975,1976,23,QB,8
376,Ron Rivers,1995,1999,69,RB,8
377,Bill Schroeder,2002,2003,30,WR,8
378,Kevin T. Scott,1991,1993,44,DB,8
379,Karl Sweetan,1966,1967,20,QB,8
380,Larry Tearry,1978,1979,25,C,8
381,Titus Young,2011,2012,26,WR,8
382,Kevin Abrams,1997,1998,31,DB,7
383,Roosevelt Barnes,1982,1985,57,LB,7
384,Mike Black,1983,1986,57,P,7
385,Daniel Bullocks,2006,2008,31,DB,7
386,Chris Cash,2002,2004,27,DB,7
387,Shaun Cody,2005,2008,53,DT,7
388,August Curley,1983,1985,26,LB,7
389,Tony Daykin,1977,1978,30,LB,7
,,,,,,
Rk,,From,To,G,Pos,AV
390,Rick DeMulling,2005,2006,27,G,7
391,Travis Fisher,2007,2008,30,DB,7
392,Casey Fitzsimmons,2003,2009,85,TE,7
393,Bill Fralic,1993,1993,16,G,7
394,Rob Fredrickson,1998,1998,16,LB,7
395,Gus Frerotte,1999,1999,9,QB,7
396,Dylan Gandy,2009,2012,62,G,7
397,Lew Kamanu,1967,1968,12,DE,7
398,Travis Kirschke,1999,2002,59,DT,7
399,Al Latimer,1982,1984,27,DB,7
400,Monte Lee,1963,1964,22,LB,7
401,Alex Lewis,2004,2008,51,LB,7
402,Joe Milinichik,1987,1989,41,G,7
403,Floyd Peters,1963,1963,14,DT,7
404,Artose Pinner,2003,2005,28,RB,7
405,Jim Pyne,1998,1998,16,G,7
406,David Richards,1993,1993,15,G,7
407,Mikhael Ricks,2002,2003,30,TE,7
408,Alphonso Smith,2010,2011,23,DB,7
409,Bobby Smith,1965,1966,20,DB,7
410,Keith Smith,2004,2007,61,DB,7
411,Brenden Stai,2001,2001,16,G,7
412,Jim Steffen,1959,1961,28,DB,7
413,Garth Ten Napel,1976,1977,28,LB,7
414,Broderick Thomas,1994,1994,16,LB,7
415,Paul Ward,1961,1962,14,DT,7
416,Larry Woods,1971,1972,13,DT,7
417,Eric Wright,2011,2011,16,DB,7
418,Gerald Alexander,2007,2007,16,DB,6
419,Joique Bell,2012,2012,16,RB,6
,,,,,,
Rk,,From,To,G,Pos,AV
420,Marcus Bell,2004,2006,44,DT,6
421,Ed Berrang,1951,1951,10,DE,6
422,Luther Blue,1977,1979,39,WR,6
423,Howie Brown,1950,1950,12,G,6
424,Chet Bulger,1950,1950,12,T,6
425,Kelly Butler,2005,2005,16,T,6
426,Jeff Campbell,1990,1993,52,WR,6
427,Toby Caston,1989,1993,68,LB,6
428,Raphel Cherry,1987,1988,26,DB,6
429,Ollie Cline,1950,1953,30,FB,6
430,Eddie Drummond,2002,2004,26,WR,6
431,Tom Dublinski,1953,1954,19,QB,6
432,Nick Fairley,2011,2012,23,DT,6
433,George Foster,2007,2008,19,T,6
434,Frank Gatski,1957,1957,12,C,6
435,Aaron Gibson,2000,2001,16,T,6
436,Hector Gray,1981,1982,24,DB,6
437,Bob Grottkau,1959,1960,17,G,6
438,Lawrence Jackson,2010,2012,37,DE,6
439,David Lewis,1984,1986,42,TE,6
440,David Loverne,2004,2004,15,G,6
441,Brock Marion,2004,2004,16,DB,6
442,Turk McBride,2009,2010,26,DT,6
443,Dick Mills,1961,1962,22,G,6
444,Derrick Moore,1993,1994,29,RB,6
445,Ashlee Palmer,2010,2012,47,LB,6
446,John Panelli,1950,1950,8,LB,6
447,Manuel Ramirez,2008,2009,17,G,6
448,Tony Ramirez,1998,1999,28,T,6
449,Lucien Reeberg,1963,1963,14,T,6
,,,,,,
Rk,,From,To,G,Pos,AV
450,Jerry Reichow,1956,1959,29,E,6
451,Dan Rogas,1951,1951,12,G,6
452,Bill Schroll,1950,1950,12,LB,6
453,Jack Simmons,1950,1950,12,C,6
454,Bill Swiacki,1951,1952,23,E,6
455,Tom Turnure,1981,1986,60,C,6
456,Jim Weatherall,1959,1960,20,DT,6
457,Kerlin Blaise,1999,2002,30,G,5
458,Leigh Bodden,2008,2008,16,DB,5
459,Shane Bonham,1994,1997,62,DT,5
460,Aveion Cason,2002,2007,28,RB,5
461,Karl Chandler,1978,1979,12,C,5
462,Dick Evey,1971,1971,11,DT,5
463,Andre Fluellen,2008,2011,51,DT,5
464,Larry Foote,2009,2009,14,LB,5
465,Larry Foster,2000,2002,36,WR,5
466,Harry Gilmer,1955,1956,19,QB,5
467,John Henderson,1965,1967,39,WR,5
468,Greg Hill,1999,1999,14,RB,5
469,Corey Hilliard,2010,2011,32,T,5
470,LeRoy Irvin,1990,1990,16,DB,5
471,Bryant Johnson,2009,2010,30,WR,5
472,Pepper Johnson,1996,1996,15,LB,5
473,David J. Jones,1984,1985,19,G,5
474,Ted Karras,1965,1965,12,G,5
475,Jeff Komlo,1979,1981,19,QB,5
476,Kyle Kosier,2005,2005,16,G,5
477,Ron Kramer,1965,1966,28,E,5
478,Clint Kriewaldt,1999,2002,49,LB,5
479,Gary Lee,1987,1988,26,WR,5
,,,,,,
Rk,,From,To,G,Pos,AV
480,Mikel Leshoure,2012,2012,14,RB,5
481,Bill Malinchak,1967,1967,14,SE,5
482,Don McIlhenny,1956,1956,9,HB,5
483,Mike McMahon,2001,2002,16,QB,5
484,R.W. McQuarters,2005,2005,16,DB,5
485,Bob Momsen,1951,1951,12,MG,5
486,Ulysses Norris,1981,1983,36,TE,5
487,Brad Oates,1978,1978,16,T,5
488,Reggie Pinkney,1977,1978,24,DB,5
489,Marcus Pollard,2005,2006,31,TE,5
490,Wali Rainer,2003,2005,48,LB,5
491,Rudy Redmond,1972,1972,14,DB,5
492,Rob Rubick,1983,1987,57,TE,5
493,Jonathan Scott,2006,2007,20,T,5
494,John Small,1973,1974,14,DT,5
495,Corey Smith,2006,2008,35,DE,5
496,Otis Smith,2003,2003,16,DB,5
497,Barry Stokes,2006,2006,11,T,5
498,Reggie Swinton,2003,2004,24,WR,5
499,Tommy Vardell,1997,1998,30,RB,5
500,Larry Vargo,1962,1963,23,DB,5
501,Andre Ware,1990,1993,13,QB,5
502,Lamont Warren,2001,2002,19,RB,5
503,Dave Washington,1978,1979,23,LB,5
504,Stanley Wilson,2005,2007,32,DB,5
505,Steve Baack,1984,1986,48,NT,4
506,Larry Ball,1975,1975,14,LB,4
507,Marlin Briscoe,1975,1975,8,WR,4
508,Corwin Brown,1999,2000,27,DB,4
509,Mike Burns,1978,1978,15,DB,4
,,,,,,
Rk,,From,To,G,Pos,AV
510,Bobby Carpenter,2010,2011,26,LB,4
511,Eddie Cole,1979,1980,28,LB,4
512,Chartric Darby,2008,2008,15,DT,4
513,Eric Davis,2002,2002,13,DB,4
514,Mike Dawson,1983,1983,16,DT,4
515,Steve Doig,1982,1984,34,LB,4
516,Joe Ehrmann,1981,1982,13,DT,4
517,Barry French,1951,1951,12,G,4
518,Billy Gambrell,1968,1968,14,SE,4
519,Tommie Ginn,1980,1981,27,C,4
520,Ron Goovert,1967,1967,14,LB,4
521,Terry Greer,1990,1990,15,WR,4
522,Barney Hafen,1950,1950,12,DE,4
523,Rodney Holman,1993,1994,31,TE,4
524,Chuck Hughes,1970,1971,16,WR,4
525,Jason Hunter,2009,2009,14,DE,4
526,Sedrick Irvin,1999,2000,20,RB,4
527,Grady Jackson,2009,2009,15,DT,4
528,Will James,2009,2009,16,DB,4
529,Ken Jenkins,1984,1984,14,RB,4
530,Landon Johnson,2010,2010,12,LB,4
531,Richard Jordan,1997,1999,35,LB,4
532,Jim Kearney,1965,1966,13,DB,4
