Code,Name,Percentage,Year
204,Eastern Mich.,0.47222222,2011
229,Fla. Atlantic,0.45454545,2011
231,FIU,0.38129496,2011
234,Florida St.,0.48062016,2011
235,Florida,0.55639098,2011
255,Georgia Tech,0.46923077,2011
257,Georgia,0.58333333,2011
277,Hawaii,0.35338346,2011
288,Houston,0.51020408,2011
295,Idaho,0.43902439,2011
301,Illinois,0.51111111,2011
306,Indiana,0.51612903,2011
311,Iowa St.,0.58955224,2011
312,Iowa,0.51515152,2011
327,Kansas St.,0.60150376,2011
328,Kansas,0.62698413,2011
331,Kent St.,0.52542373,2011
334,Kentucky,0.51260504,2011
365,LSU,0.67625899,2011
366,Louisiana Tech,0.49253731,2011
367,Louisville,0.52713178,2011
388,Marshall,0.57142857,2011
392,Maryland,0.54166667,2011
404,Memphis,0.40163934,2011
414,Miami (OH),0.42519685,2011
415,Miami (FL),0.48739496,2011
416,Michigan St.,0.52083333,2011
418,Michigan,0.57638889,2011
419,Middle Tenn.,0.40310078,2011
428,Minnesota,0.576,2011
430,Mississippi St.,0.5648855,2011
433,Ole Miss,0.59836066,2011
434,Missouri,0.56296296,2011
457,North Carolina,0.54961832,2011
463,Nebraska,0.6,2011
465,UNLV,0.5,2011
466,Nevada,0.46527778,2011
472,New Mexico St.,0.42253521,2011
473,New Mexico,0.50413223,2011
490,North Carolina St.,0.48739496,2011
497,North Texas,0.49242424,2011
498,La.-Monroe,0.48760331,2011
503,Northern Ill.,0.46715328,2011
509,Northwestern,0.46564885,2011
513,Notre Dame,0.55319149,2011
518,Ohio St.,0.51388889,2011
519,Ohio,0.43262411,2011
521,Oklahoma St.,0.61643836,2011
522,Oklahoma,0.60273973,2011
528,Oregon St.,0.55645161,2011
529,Oregon,0.56462585,2011
539,Penn St.,0.59090909,2011
545,Pittsburgh,0.51937984,2011
559,Purdue,0.47761194,2011
574,Rice,0.52592593,2011
587,Rutgers,0.4921875,2011
626,San Diego St.,0.4765625,2011
630,San Jose St.,0.43283582,2011
648,South Carolina,0.57251908,2011
651,South Fla.,0.51694915,2011
657,Southern California,0.52592593,2011
663,SMU,0.5,2011
664,Southern Miss.,0.49295775,2011
671,La.-Lafayette,0.46153846,2011
674,Stanford,0.53103448,2011
688,Syracuse,0.5210084,2011
690,Temple,0.4015748,2011
694,Tennessee,0.60330579,2011
697,Texas A&M,0.57638889,2011
698,TCU,0.5390625,2011
700,Texas Tech,0.552,2011
703,Texas,0.57823129,2011
704,UTEP,0.45081967,2011
709,Toledo,0.51937984,2011
716,Troy,0.45801527,2011
718,Tulane,0.36434109,2011
719,Tulsa,0.58219178,2011
721,Air Force,0.48305085,2011
725,Army,0.45,2011
726,Navy,0.53333333,2011
731,Utah St.,0.45112782,2011
732,Utah,0.46212121,2011
736,Vanderbilt,0.53125,2011
742,Virginia Tech,0.57042254,2011
746,Virginia,0.46875,2011
749,Wake Forest,0.47692308,2011
754,Washington St.,0.47580645,2011
756,Washington,0.5530303,2011
768,West Virginia,0.53846154,2011
772,Western Ky.,0.45833333,2011
774,Western Mich.,0.4609375,2011
796,Wisconsin,0.55633803,2011
811,Wyoming,0.50847458,2011
5,Akron,0.46666667,2009
8,Alabama,0.63265306,2009
9,UAB,0.45864662,2009
28,Arizona St.,0.52419355,2009
29,Arizona,0.60144928,2009
30,Arkansas St.,0.44628099,2009
31,Arkansas,0.61029412,2009
37,Auburn,0.57251908,2009
47,Ball St.,0.44262295,2009
51,Baylor,0.58064516,2009
66,Boise St.,0.48951049,2009
67,Boston College,0.51162791,2009
71,Bowling Green,0.51388889,2009
77,BYU,0.48201439,2009
86,Buffalo,0.48760331,2009
96,Fresno St.,0.50381679,2009
107,California,0.5037037,2009
110,UCLA,0.51748252,2009
128,UCF,0.5,2009
129,Central Mich.,0.45070423,2009
140,Cincinnati,0.5546875,2009
147,Clemson,0.56115108,2009
156,Colorado St.,0.51219512,2009
157,Colorado,0.52631579,2009
164,Connecticut,0.55905512,2009
193,Duke,0.45192308,2009
196,East Carolina,0.51408451,2009
204,Eastern Mich.,0.41732283,2009
229,Fla. Atlantic,0.43181818,2009
231,FIU,0.51145038,2009
234,Florida St.,0.6,2009
235,Florida,0.60689655,2009
255,Georgia Tech,0.55474453,2009
257,Georgia,0.57037037,2009
277,Hawaii,0.46212121,2009
288,Houston,0.45714286,2009
295,Idaho,0.42553191,2009
301,Illinois,0.55,2009
306,Indiana,0.5042735,2009
311,Iowa St.,0.48062016,2009
312,Iowa,0.59541985,2009
327,Kansas St.,0.50892857,2009
328,Kansas,0.53719008,2009
331,Kent St.,0.3697479,2009
334,Kentucky,0.51515152,2009
365,LSU,0.56834532,2009
366,Louisiana Tech,0.51612903,2009
367,Louisville,0.57627119,2009
388,Marshall,0.5,2009
392,Maryland,0.5042735,2009
404,Memphis,0.51219512,2009
414,Miami (OH),0.5530303,2009
415,Miami (FL),0.58914729,2009
416,Michigan St.,0.56923077,2009
418,Michigan,0.48739496,2009
419,Middle Tenn.,0.35507246,2009
428,Minnesota,0.57251908,2009
430,Mississippi St.,0.672,2009
433,Mississippi,0.52892562,2009
434,Missouri,0.53731343,2009
457,North Carolina,0.58823529,2009
463,Nebraska,0.53642384,2009
465,UNLV,0.52459016,2009
466,Nevada,0.45,2009
472,New Mexico St.,0.43181818,2009
473,New Mexico,0.48091603,2009
490,North Carolina St.,0.5046729,2009
497,North Texas,0.43846154,2009
498,La.-Monroe,0.43801653,2009
503,Northern Ill.,0.41984733,2009
509,Northwestern,0.42635659,2009
513,Notre Dame,0.52592593,2009
518,Ohio St.,0.56643357,2009
519,Ohio,0.44366197,2009
521,Oklahoma St.,0.55223881,2009
522,Oklahoma,0.6119403,2009
528,Oregon St.,0.57777778,2009
529,Oregon,0.60810811,2009
539,Penn St.,0.52713178,2009
545,Pittsburgh,0.56,2009
559,Purdue,0.50381679,2009
574,Rice,0.46969697,2009
587,Rutgers,0.5,2009
626,San Diego St.,0.49593496,2009
630,San Jose St.,0.528,2009
648,South Carolina,0.58333333,2009
651,South Fla.,0.53846154,2009
657,Southern California,0.52413793,2009
663,SMU,0.47761194,2009
664,Southern Miss.,0.43410853,2009
671,La.-Lafayette,0.44628099,2009
674,Stanford,0.48251748,2009
688,Syracuse,0.57264957,2009
690,Temple,0.40769231,2009
694,Tennessee,0.54861111,2009
697,Texas A&M,0.4822695,2009
698,TCU,0.56060606,2009
700,Texas Tech,0.50746269,2009
703,Texas,0.58064516,2009
704,UTEP,0.39230769,2009
709,Toledo,0.41353383,2009
716,Troy,0.4965035,2009
718,Tulane,0.49180328,2009
719,Tulsa,0.43442623,2009
721,Air Force,0.53030303,2009
725,Army,0.36206897,2009
726,Navy,0.5,2009
731,Utah St.,0.528,2009
732,Utah,0.47482014,2009
736,Vanderbilt,0.52459016,2009
742,Virginia Tech,0.58450704,2009
746,Virginia,0.55462185,2009
749,Wake Forest,0.50420168,2009
754,Washington St.,0.51851852,2009
756,Washington,0.54744526,2009
768,West Virginia,0.55813953,2009
772,Western Ky.,0.43801653,2009
774,Western Mich.,0.32478632,2009
796,Wisconsin,0.55725191,2009
811,Wyoming,0.53383459,2009
5,Akron,0.41984733,2008
8,Alabama,0.54421769,2008
9,UAB,0.4516129,2008
28,Arizona St.,0.51587302,2008
29,Arizona,0.45517241,2008
30,Arkansas St.,0.4516129,2008
31,Arkansas,0.61788618,2008
37,Auburn,0.54098361,2008
47,Ball St.,0.42446043,2008
51,Baylor,0.57258065,2008
66,Boise St.,0.51879699,2008
67,Boston College,0.55319149,2008
71,Bowling Green,0.40769231,2008
77,BYU,0.46564885,2008
86,Buffalo,0.49673203,2008
96,Fresno St.,0.43262411,2008
107,California,0.52380952,2008
110,UCLA,0.51824818,2008
128,UCF,0.44715447,2008
129,Central Mich.,0.46212121,2008
140,Cincinnati,0.53146853,2008
147,Clemson,0.57377049,2008
156,Colorado St.,0.55725191,2008
157,Colorado,0.56198347,2008
164,Connecticut,0.52272727,2008
193,Duke,0.53719008,2008
196,East Carolina,0.47058824,2008
