Name,Team,G,Receiving,Rec,Yds,Y/G,Avg,Lng,TD,RUSHING,Rush,Yds,Y/G,Avg,TD,Year,Position
Calvin Bell,Mich,6,,8,114,19,14.3,43,0,,1,17,2.8,17,0,2003,WR
Sinorice Moss,Mia F,5,,8,111,22.2,13.9,32,0,,0,0,0,N/A,0,2003,WR
Al Peterson,UCF,4,,12,109,27.3,9.1,25,0,,1,11,2.8,11,0,2003,WR
Kyle Weatherspoon,Ore,6,,7,109,18.2,15.6,32,0,,3,17,2.8,5.7,0,2003,WR
Sterling Hicks,NC St,2,,8,108,54,13.5,33,0,,0,0,0,N/A,0,2003,WR
Ed Hinkel,Iowa,6,,10,108,18,10.8,23,1,,1,2,0.3,2,0,2003,WR
Earvin Taylor,TAMU,7,,9,106,15.1,11.8,46,0,,0,0,0,N/A,0,2003,WR
Dwayne Bowe,LSU,5,,9,106,21.2,11.8,24,0,,0,0,0,N/A,0,2003,WR
Chris Chestnut,WMU,4,,9,105,26.3,11.7,27,0,,0,0,0,N/A,0,2003,WR
Julius Cosby,LT,6,,7,105,17.5,15,25,2,,0,0,0,N/A,0,2003,WR
Jamie Goodwin,Akrn,11,,6,105,17.5,17.5,34,0,,4,46,7.7,11.5,0,2003,WR
Jemalle Cornelius,Fla,5,,7,105,21,15,33,0,,2,14,2.8,7,0,2003,WR
Shaun Herbert,N.W.,3,,10,105,35,10.5,19,0,,0,0,0,N/A,0,2003,WR
Carl Tabb,Mich,6,,10,103,17.2,10.3,21,0,,0,0,0,N/A,0,2003,WR
Chavez Donnings,S Car,5,,7,103,20.6,14.7,38,0,,3,0,0,0,0,2003,WR
Senterrio Landrum,Duke,12,,11,101,8.4,9.2,33,0,,24,161,13.4,6.7,0,2003,WR
Levon Thomas,GT,6,,10,101,16.8,10.1,43,1,,1,-7,-1.2,-7,0,2003,WR
Carl Davis,Tula,7,,10,101,14.4,10.1,27,1,,0,0,0,N/A,0,2003,WR
Jamel Harris,Temp,4,,7,100,25,14.3,31,0,,0,0,0,N/A,0,2003,WR
Joel Higginson,UT St,5,,11,100,20,9.1,23,0,,0,0,0,N/A,0,2003,WR
Jamaal Lewis,AZ St,5,,10,99,19.8,9.9,21,2,,0,0,0,N/A,0,2003,WR
Noah Whiteside,S Car,3,,5,97,32.3,19.4,36,2,,0,0,0,N/A,0,2003,WR
John Madsen,Utah,2,,3,97,48.5,32.3,45,1,,0,0,0,N/A,0,2003,WR
Terrence Thomas,N Mex,10,,13,96,9.6,7.4,20,0,,4,-10,-1,-2.5,0,2003,WR
B.J. Crist,ULL,5,,7,96,19.2,13.7,47,0,,0,0,0,N/A,0,2003,WR
Hiram Moore,Mrsh,3,,5,96,32,19.2,39,0,,0,0,0,N/A,0,2003,WR
Lonnel Penman,SDg St,5,,14,96,19.2,6.9,18,0,,0,0,0,N/A,0,2003,WR
Blake Warren,SMU,8,,11,94,15.7,8.5,20,0,,0,0,0,N/A,0,2003,WR
Joey Hawkins,TX Tch,6,,8,93,15.5,11.6,26,0,,0,0,0,N/A,0,2003,WR
Cole Clasen,OR St,13,,6,93,15.5,15.5,23,0,,0,0,0,N/A,0,2003,WR
Ronnie Elliott,Duke,6,,7,92,15.3,13.1,28,1,,3,10,1.7,3.3,0,2003,WR
Sonny Shackelford,Wash,4,,7,92,23,13.1,26,0,,0,0,0,N/A,0,2003,WR
Idris Moss,UCLA,3,,4,92,30.7,23,44,0,,0,0,0,N/A,0,2003,WR
Marcus James,Mizz,11,,8,92,13.1,11.5,34,0,,1,-2,-0.3,-2,0,2003,WR
Jay'Mond Cleveland,SMU,6,,9,91,15.2,10.1,17,0,,1,12,2,12,0,2003,WR
Tremel Guillory,Mrsh,12,,7,91,13,13,26,0,,1,-3,-0.4,-3,0,2003,WR
Terrence Thomas,TAMU,5,,7,91,22.8,13,26,0,,0,0,0,N/A,0,2003,WR
Tony Jeffery,Tex,8,,8,91,11.4,11.4,52,1,,3,10,1.3,3.3,0,2003,WR
Tony Pennyman,UT St,7,,10,88,12.6,8.8,21,0,,1,7,1,7,0,2003,WR
Michael DePriest,TCU,8,,8,88,11,11,25,0,,3,37,4.6,12.3,0,2003,WR
Mario Raley,Ga,5,,8,87,17.4,10.9,26,0,,0,0,0,N/A,0,2003,WR
