","Name","Team","Yds","Y.G","TD","RUSHING","Rush","Yds.1","Y.G.1","Avg","TD.1","Year","Position","Rec","Avg.1","Lng","PASSING","QBRAT","Att","Comp","Pct","Y.A","Int","SACKED","Sack","YdsL","RECEIVING","Receiving"
5522","Freddie Franklin","LT",448,56,4,NA,91,154,19.3,"4.9",0,2005,"RB",17,"9.1","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5523","Freddie Stoglin","TCU",0,0,0,NA,2,0,0,"0",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5524","Fui Vakapuna","BYU",157,26.2,1,NA,30,29,4.8,"5.2",0,2003,"RB",6,"4.8","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5525","Fui Vakapuna","BYU",252,28,2,NA,73,4,0.4,"3.5",0,2007,"RB",1,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5526","Fui Vakapuna","BYU",263,21.9,3,NA,54,69,5.8,"4.9",1,2008,"RB",10,"6.9","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5527","Fui Vakapuna","BYU",445,37.1,8,NA,92,87,7.3,"4.8",3,2006,"RB",11,"7.9","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5528","G.J. Wooldridge","WKU",70,23.3,1,NA,15,0,0,"4.7",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5529","G.J. Wooldridge","WKU",253,42.2,1,NA,34,4,0.7,"7.4",0,2005,"RB",2,"2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5530","Gabby Torres","UCF",14,7,0,NA,3,0,0,"4.7",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5531","Gainus Scott","Ariz",10,10,0,NA,6,0,0,"1.7",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5532","Garrett Wolfe","N Ill",1588,176.4,16,NA,243,216,24,"6.5",1,2005,"RB",20,"10.8","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5533","Garrett Wolfe","N Ill",1656,150.5,18,NA,256,117,10.6,"6.5",3,2004,"RB",10,"11.7","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5534","Garrett Wolfe","N Ill",1928,148.3,18,NA,309,249,19.2,"6.2",1,2006,"RB",28,"8.9","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5535","Gartrell Johnson","CO St",12,12,0,NA,2,0,0,"6",0,2004,"RB",1,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5536","Gartrell Johnson","CO St",26,13,0,NA,11,0,0,"2.4",0,2005,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5537","Gartrell Johnson","CO St",305,27.7,6,NA,109,41,3.7,"2.8",0,2006,"RB",5,"8.2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5538","Gartrell Johnson","CO St",957,79.8,6,NA,181,103,8.6,"5.3",2,2007,"RB",12,"8.6","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5539","Gartrell Johnson","CO St",1476,113.5,12,NA,278,295,22.7,"5.3",0,2008,"RB",32,"9.2","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5540","Gary Douglas","Md",8,8,0,NA,2,0,0,"4",0,2010,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5541","Gary Douglas","Md",81,16.2,0,NA,16,78,15.6,"5.1",0,2009,"RB",6,"13","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5542","Gary Fessel","WKU",9,4.5,0,NA,3,0,0,"3",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5543","Gary Frazier","ULM",7,7,0,NA,3,0,0,"2.3",0,2006,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5544","Gary Frazier","ULM",12,6,0,NA,6,0,0,"2",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5545","Gary Frazier","ULM",12,4,1,NA,9,0,0,"1.3",0,2008,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5546","Gary Russell","Minn",144,48,0,NA,24,0,0,"6",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5547","Gary Russell","Minn",1130,94.2,18,NA,186,168,14,"6.1",1,2005,"RB",16,"10.5","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5548","Gary Whidden","Army",0,0,0,NA,0,5,2.5,"N/A",0,2004,"RB",2,"2.5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5549","Gaston Miller","Vand",18,18,0,NA,4,0,0,"4.5",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5550","Gaston Miller","Vand",70,17.5,0,NA,13,0,0,"5.4",0,2006,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5551","Gaston Miller","Vand",52,7.4,0,NA,24,31,4.4,"2.2",0,2008,"RB",3,"10.3","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5552","Gavin Roberts","Purd",7,7,0,NA,1,0,0,"7",0,2012,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5553","Gee Gee Greene","Navy",253,23,0,NA,41,4,0.4,"6.2",0,2009,"RB",1,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5554","Gee Gee Greene","Navy",501,41.8,3,NA,64,165,13.8,"7.8",4,2011,"RB",11,"15","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5555","Gee Gee Greene","Navy",479,36.8,5,NA,72,286,22,"6.7",0,2010,"RB",18,"15.9","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5556","Gee Gee Greene","Navy",877,67.5,3,NA,120,309,23.8,"7.3",2,2012,"RB",18,"17.2","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5557","Geoffrey Whiteside","Navy",111,18.5,0,NA,16,35,5.8,"6.9",1,2012,"RB",4,"8.8","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5558","George Atkinson","ND",27,9,2,NA,9,10,3.3,"3",0,2011,"RB",1,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5559","George Atkinson","ND",361,32.8,5,NA,51,4,0.4,"7.1",0,2012,"RB",2,"2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5560","George Bell","AZ St",84,28,0,NA,0,0,0,"9.3",0,2010,"WR",9,"N/A","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5561","George Bell","AZ St",211,23.4,1,NA,0,0,0,"11.7",0,2011,"WR",18,"N/A","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5562","George Bell","VT",107,26.8,2,NA,35,0,0,"3.1",0,2006,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5563","George Bell","VT",192,21.3,2,NA,42,0,0,"4.6",0,2005,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5564","George Johnson","Clem",8,8,0,NA,3,0,0,"2.7",0,2012,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5565","George Stripling","Lou",258,28.7,1,NA,62,227,25.2,"4.2",1,2007,"RB",20,"11.4","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5566","George Stripling","Lou",621,62.1,7,NA,79,14,1.4,"7.9",0,2005,"RB",1,"14","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5567","George Stripling","Lou",459,38.3,5,NA,81,252,21,"5.7",1,2006,"RB",13,"19.4","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5568","George Winn","Cinc",12,12,0,NA,5,19,19,"2.4",0,2009,"RB",1,"19","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569","George Winn","Cinc",143,28.6,0,NA,34,6,1.2,"4.2",0,2010,"RB",1,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5570","George Winn","Cinc",219,18.3,2,NA,40,7,0.6,"5.5",0,2011,"RB",2,"3.5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5571","George Winn","Cinc",1334,102.6,13,NA,243,129,9.9,"5.5",0,2012,"RB",15,"8.6","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572","Gerald Commissiong","Stan",16,16,1,NA,5,0,0,"3.2",0,2005,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5573","Gerald Commissiong","Stan",31,7.8,0,NA,17,2,0.5,"1.8",0,2003,"RB",1,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5574","Gerald Riggs Jr.","Tenn",530,88.3,3,NA,127,74,12.3,"4.2",0,2005,"RB",10,"7.4","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5575","Gerald Riggs Jr.","Tenn",207,25.9,1,NA,46,0,0,"4.5",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5576","Gerald Riggs Jr.","Tenn",1107,85.2,6,NA,193,37,2.8,"5.7",0,2004,"RB",8,"4.6","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5577","Germi Morrison","NM St",767,63.9,2,NA,159,94,7.8,"4.8",0,2012,"RB",13,"7.2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5578","Gerwin Williams","Mrsh",9,9,0,NA,3,0,0,"3",0,2005,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5579","Giavanni Ruffin","ECU",308,23.7,5,NA,84,26,2,"3.7",0,2009,"RB",5,"5.2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
