","Name","Team","Yds","Y.G","TD","RUSHING","Rush","Yds.1","Y.G.1","Avg","TD.1","Year","Position","Rec","Avg.1","Lng","PASSING","QBRAT","Att","Comp","Pct","Y.A","Int","SACKED","Sack","YdsL","RECEIVING","Receiving"
8301","Rodney Kinlaw","PSU",93,18.6,0,NA,23,0,0,"4",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8302","Rodney Kinlaw","PSU",34,5.7,2,NA,18,3,0.5,"1.9",0,2005,"RB",1,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8303","Rodney Kinlaw","PSU",199,24.9,0,NA,39,0,0,"5.1",0,2006,"RB",2,"0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8304","Rodney Kinlaw","PSU",1329,102.2,10,NA,243,128,9.8,"5.5",0,2007,"RB",21,"6.1","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8305","Rodney Lovett","ULM",11,2.8,0,NA,3,7,1.8,"3.7",1,2010,"RB",3,"2.3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8306","Rodney Lovett","ULM",188,20.9,1,NA,39,0,0,"4.8",0,2008,"RB",1,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8307","Rodney Lovett","ULM",273,22.8,2,NA,73,5,0.4,"3.7",0,2009,"RB",2,"2.5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8308","Rodney Scott","Miss",64,10.7,1,NA,21,0,0,"3",0,2010,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8309","Rodney Scott","Miss",138,17.3,2,NA,35,0,0,"3.9",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8310","Rodney Stewart","Colo",622,69.1,2,NA,132,43,4.8,"4.7",0,2008,"RB",7,"6.1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8311","Rodney Stewart","Colo",804,73.1,9,NA,198,65,5.9,"4.1",0,2009,"RB",12,"5.4","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8312","Rodney Stewart","Colo",854,77.6,4,NA,189,571,51.9,"4.5",0,2011,"RB",45,"12.7","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8313","Rodney Stewart","Colo",1272,106,10,NA,290,290,24.2,"4.4",0,2010,"RB",29,"10","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8314","Rodrick Williams","Minn",261,32.6,2,NA,57,21,2.6,"4.6",0,2012,"RB",3,"7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8315","Rolandan Finch","BC",134,33.5,1,NA,28,0,0,"4.8",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8316","Rolandan Finch","BC",431,86.2,1,NA,77,108,21.6,"5.6",0,2012,"RB",17,"6.4","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8317","Rolandan Finch","BC",705,64.1,3,NA,157,99,9,"4.5",0,2011,"RB",11,"9","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8318","Rolly Lumbala","Ida",2,0.3,0,NA,1,67,9.6,"2",0,2007,"RB",8,"8.4","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8319","Rolly Lumbala","Ida",95,13.6,2,NA,21,9,1.3,"4.5",0,2006,"RB",1,"9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8320","Rolly Lumbala","Ida",472,42.9,1,NA,128,217,19.7,"3.7",2,2005,"RB",22,"9.9","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8321","Rolly Lumbala","Ida",614,51.2,6,NA,141,40,3.3,"4.4",0,2004,"RB",6,"6.7","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8322","Romar Morris","NC",386,35.1,2,NA,69,205,18.6,"5.6",2,2012,"RB",12,"17.1","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8323","Ron Bullock","Vand",38,19,0,NA,6,0,0,"6.3",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8324","Ronald (Rock) Johnson","UK",26,8.7,1,NA,7,11,3.7,"3.7",0,2004,"RB",3,"3.7","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8325","Ronald (Rock) Johnson","UK",84,10.5,1,NA,20,22,2.8,"4.2",0,2003,"RB",2,"11","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8326","Ronald Hatcher","Vand",65,10.8,0,NA,21,12,2,"3.1",0,2003,"RB",2,"6","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8327","Ronald McClendon","Miss",331,41.4,1,NA,55,49,6.1,"6",0,2003,"RB",4,"12.3","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8328","Ronald Opetaia","NM St",0,0,0,NA,1,29,7.3,"0",0,2009,"RB",4,"7.3","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8329","Ronald Opetaia","NM St",85,10.6,1,NA,22,20,2.5,"3.9",1,2008,"RB",2,"10","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8330","Ronald Scott","UT St",141,15.7,1,NA,15,11,1.2,"9.4",1,2008,"RB",5,"2.2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8331","Ronald Stewart","Ill",-1,-1,0,NA,1,0,0,"-1",0,2011,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8332","Ronald Watkins","Ark",-2,-2,0,NA,1,0,0,"-2",0,2011,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8333","Ronald Watkins","Ark",5,5,0,NA,1,0,0,"5",0,2010,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8334","Ronald Watson","Clem",-1,-1,0,NA,3,0,0,"-0.3",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8335","Ronald Watson","Clem",9,9,0,NA,4,0,0,"2.3",0,2008,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8336","Ronnie Brown","Aub",446,40.5,5,NA,95,80,7.3,"4.7",0,2003,"RB",8,"10","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8337","Ronnie Brown","Aub",913,76.1,8,NA,153,313,26.1,"6",1,2004,"RB",34,"9.2","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8338","Ronnie Daniels","TX Tch",43,43,1,NA,9,3,3,"4.8",0,2011,"RB",1,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8339","Ronnie Drummer","Duke",114,16.3,0,NA,25,72,10.3,"4.6",1,2004,"RB",10,"7.2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8340","Ronnie Drummer","Duke",148,14.8,1,NA,29,114,11.4,"5.1",0,2006,"RB",16,"7.1","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8341","Ronnie Drummer","Duke",337,30.6,2,NA,33,19,1.7,"10.2",0,2005,"RB",7,"2.7","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8342","Ronnie Drummer","Duke",119,9.9,0,NA,47,196,16.3,"2.5",2,2007,"RB",24,"8.2","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8343","Ronnie Hillman","SDg St",1464,112.6,17,NA,262,68,5.2,"5.6",1,2010,"RB",9,"7.6","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8344","Ronnie Hillman","SDg St",1711,131.6,19,NA,311,270,20.8,"5.5",1,2011,"RB",24,"11.3","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8345","Ronnie Lilly","WKU",226,32.3,3,NA,44,0,0,"5.1",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8346","Ronnie McGill","NC",419,59.9,5,NA,79,19,2.7,"5.3",1,2004,"RB",2,"9.5","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8347","Ronnie McGill","NC",530,75.7,5,NA,130,99,14.1,"4.1",0,2005,"RB",15,"6.6","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8348","Ronnie McGill","NC",654,54.5,7,NA,128,54,4.5,"5.1",0,2003,"RB",7,"7.7","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8349","Ronnie McGill","NC",790,65.8,7,NA,192,148,12.3,"4.1",1,2006,"RB",15,"9.9","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8350","Ronnie Powell","Ga",276,34.5,3,NA,51,0,0,"5.4",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8351","Ronnie Smith","UNLV",59,11.8,0,NA,2,17,3.4,"29.5",0,2005,"RB",2,"8.5","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8352","Ronnie Smith","UNLV",138,13.8,2,NA,34,88,8.8,"4.1",1,2006,"RB",15,"5.9","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8353","Ronnie Weaver","UCF",86,14.3,1,NA,19,0,0,"4.5",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8354","Ronnie Weaver","UCF",348,49.7,2,NA,102,18,2.6,"3.4",0,2008,"RB",5,"3.6","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8355","Ronnie Weaver","UCF",299,29.9,3,NA,77,70,7,"3.9",1,2011,"RB",7,"10","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8356","Ronnie Weaver","UCF",834,59.6,11,NA,186,29,2.1,"4.5",0,2010,"RB",4,"7.3","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8357","Ronnie Wingo","Ark",59,11.8,1,NA,12,50,10,"4.9",0,2012,"RB",7,"7.1","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8358","Ronnie Wingo","Ark",246,20.5,1,NA,41,285,23.8,"6",4,2010,"RB",27,"10.6","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8359","Ronnie Wingo","Ark",318,26.5,3,NA,50,99,8.3,"6.4",1,2009,"RB",5,"19.8","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8360","Ronnie Wingo","Ark",458,38.2,3,NA,104,188,15.7,"4.4",2,2011,"RB",20,"9.4","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8361","Rosevelt Watson","GA St",0,0,0,NA,1,0,0,"0",0,2011,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8362","Rosevelt Watson","GA St",146,24.3,2,NA,34,13,2.2,"4.3",0,2012,"RB",2,"6.5","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8363","Rosevelt Watson","GA St",150,13.6,0,NA,46,31,2.8,"3.3",0,2010,"RB",5,"6.2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8364","Roshawn Parker","OH St",-5,-5,0,NA,1,0,0,"-5",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8365","Roshawn Parker","OH St",5,2.5,0,NA,2,0,0,"2.5",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8366","Roshawn Pope","Hous",279,19.9,1,NA,59,271,19.4,"4.7",2,2006,"RB",21,"12.9","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8367","Roshon Vercher","Fres",4,1,0,NA,2,11,2.8,"2",0,2006,"RB",2,"5.5","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8368","Roshon Vercher","Fres",7,1.8,2,NA,4,19,4.8,"1.8",0,2005,"RB",2,"9.5","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8369","Roshon Vercher","Fres",14,3.5,2,NA,4,11,2.8,"3.5",1,2004,"RB",2,"5.5","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8370","Roshon Vercher","Fres",3,0.6,0,NA,1,48,9.6,"3",1,2003,"RB",7,"6.9","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8371","Ross Cassity","WKU",-2,-2,0,NA,1,0,0,"-2",0,2007,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8372","Ross Cassity","WKU",0,0,0,NA,0,11,11,"N/A",0,2003,"RB",1,"11","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8373","Ross Cassity","WKU",7,2.3,0,NA,3,37,12.3,"2.3",0,2004,"RB",5,"7.4","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8374","Ross Cassity","WKU",19,2.4,0,NA,5,65,8.1,"3.8",1,2005,"RB",7,"9.3","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8375","Ross Rix","ULL",27,9,0,NA,9,11,3.7,"3",0,2003,"RB",2,"5.5","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8376","Ross Rix","ULL",3,0.8,0,NA,4,10,2.5,"0.8",0,2004,"RB",3,"3.3","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8377","Rovann Cleveland","UTEP",33,4.7,0,NA,10,11,1.6,"3.3",0,2003,"RB",1,"11","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8378","Roy Bishop","N TX",273,34.1,3,NA,63,28,3.5,"4.3",0,2003,"RB",1,"28","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8379","Roy Finch","Okla",62,12.4,1,NA,7,6,1.2,"8.9",0,2012,"RB",2,"3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380","Roy Finch","Okla",384,48,2,NA,85,52,6.5,"4.5",0,2010,"RB",10,"5.2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8381","Roy Finch","Okla",605,50.4,3,NA,111,296,24.7,"5.5",0,2011,"RB",34,"8.7","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8382","Roy Helu","Neb",209,29.9,0,NA,45,40,5.7,"4.6",0,2007,"RB",5,"8","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8383","Roy Helu","Neb",803,61.8,7,NA,125,266,20.5,"6.4",0,2008,"RB",25,"10.6","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8384","Roy Helu","Neb",1147,81.9,10,NA,220,149,10.6,"5.2",0,2009,"RB",19,"7.8","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8385","Roy Helu","Neb",1198,85.6,11,NA,188,46,3.3,"6.4",0,2010,"RB",5,"9.2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8386","Roy Otis","Hous",3,1,0,NA,1,3,1,"3",0,2005,"RB",2,"1.5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8387","Roy Otis","Hous",42,5.3,0,NA,11,24,3,"3.8",1,2006,"RB",3,"8","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8388","Roy Upchurch","Ala",37,37,2,NA,12,0,0,"3.1",0,2006,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8389","Roy Upchurch","Ala",237,26.3,1,NA,50,51,5.7,"4.7",0,2007,"RB",7,"7.3","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8390","Roy Upchurch","Ala",350,38.9,4,NA,58,101,11.2,"6",0,2008,"RB",9,"11.2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8391","Roy Upchurch","Ala",299,27.2,2,NA,48,72,6.5,"6.2",1,2009,"RB",12,"6","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8392","Rushel Shell","Pitt",641,53.4,4,NA,141,103,8.6,"4.5",0,2012,"RB",9,"11.4","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8393","Russ Weil","Ill",4,4,0,NA,1,0,0,"4",0,2006,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8394","Russ Weil","Ill",6,2,0,NA,1,22,7.3,"6",0,2005,"RB",2,"11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8395","Russ Weil","Ill",29,4.1,0,NA,7,34,4.9,"4.1",0,2007,"RB",2,"17","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8396","Russell Ball","FL St",2,0.7,0,NA,3,20,6.7,"0.7",0,2007,"RB",2,"10","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8397","Russell Dennison","Okla",0,0,0,NA,0,4,4,"N/A",0,2005,"RB",1,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8398","Russell Hansbrough","Mizz",139,17.4,0,NA,37,0,0,"3.8",0,2012,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8399","Ryan Barry","Navy",0,0,0,NA,1,0,0,"0",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8400","Ryan Barry","Navy",4,4,0,NA,3,0,0,"1.3",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8401","Ryan Bass","AZ St",120,20,0,NA,26,0,0,"4.6",0,2008,"RB",1,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8402","Ryan Bass","AZ St",173,28.8,1,NA,29,9,1.5,"6",0,2009,"RB",1,"9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8403","Ryan Bass","Ida",175,29.2,2,NA,44,7,1.2,"4",0,2011,"RB",3,"2.3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8404","Ryan Bass","Ida",484,40.3,0,NA,129,97,8.1,"3.8",0,2012,"RB",16,"6.1","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8405","Ryan Bohm","UT St",20,6.7,0,NA,9,39,13,"2.2",0,2006,"RB",5,"7.8","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8406","Ryan Bohm","UT St",340,37.8,4,NA,92,162,18,"3.7",0,2005,"RB",20,"8.1","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8407","Ryan Boykin","Ohio",445,63.6,4,NA,74,14,2,"6",0,2012,"RB",3,"4.7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8408","Ryan Boykin","Ohio",211,26.4,3,NA,41,0,0,"5.1",0,2010,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8409","Ryan Boykin","Ohio",435,39.5,1,NA,104,92,8.4,"4.2",1,2011,"RB",14,"6.6","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8410","Ryan Brumfield","EMU",36,12,0,NA,14,22,7.3,"2.6",0,2011,"RB",1,"22","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8411","Ryan Brumfield","EMU",169,15.4,1,NA,57,34,3.1,"3",2,2012,"RB",3,"11.3","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8412","Ryan Christian","TCU",4,1,0,NA,2,6,1.5,"2",0,2006,"RB",2,"3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8413","Ryan Christian","TCU",66,6,0,NA,14,284,25.8,"4.7",3,2009,"RB",24,"11.8","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8414","Ryan Christian","TCU",321,29.2,2,NA,88,139,12.6,"3.6",0,2007,"RB",18,"7.7","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8415","Ryan Christian","TCU",386,29.7,4,NA,91,321,24.7,"4.2",0,2008,"RB",30,"10.7","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8416","Ryan Clarke","W Va",12,12,0,NA,2,0,0,"6",0,2012,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8417","Ryan Clarke","W Va",250,20.8,8,NA,60,15,1.3,"4.2",0,2009,"RB",2,"7.5","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8418","Ryan Clarke","W Va",280,23.3,8,NA,80,16,1.3,"3.5",0,2010,"RB",2,"8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8419","Ryan Cole","OR St",82,11.7,0,NA,15,13,1.9,"5.5",0,2003,"RB",2,"6.5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8420","Ryan Cole","OR St",210,17.5,2,NA,80,77,6.4,"2.6",0,2004,"RB",10,"7.7","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8421","Ryan Earnest","USM",23,11.5,0,NA,6,0,0,"3.8",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8422","Ryan Folsom","BYU",5,5,0,NA,2,0,0,"2.5",0,2011,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8423","Ryan Folsom","BYU",92,30.7,0,NA,8,0,0,"11.5",0,2010,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8424","Ryan Franzinger","OH St",4,4,0,NA,1,0,0,"4",0,2005,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8425","Ryan Grant","ND",515,57.2,5,NA,127,51,5.7,"4.1",0,2004,"RB",6,"8.5","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8426","Ryan Grant","ND",510,42.5,3,NA,143,64,5.3,"3.6",0,2003,"RB",9,"7.1","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8427","Ryan Grant","Tula",27,27,1,NA,0,0,0,"27",0,2011,"WR",1,"N/A","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8428","Ryan Grant","Tula",39,7.8,1,NA,0,0,0,"4.3",0,2009,"WR",9,"N/A","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8429","Ryan Grant","Tula",515,46.8,4,NA,5,-27,-2.5,"15.6",0,2010,"WR",33,"-5.4","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8430","Ryan Grant","Tula",1149,95.8,6,NA,0,0,0,"15.1",0,2012,"WR",76,"N/A","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8431","Ryan Hale","TX Tch",0,0,0,NA,0,4,4,"N/A",1,2008,"RB",1,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8432","Ryan Hale","TX Tch",5,5,0,NA,1,0,0,"5",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8433","Ryan Houston","NC",145,20.7,1,NA,44,0,0,"3.3",0,2007,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8434","Ryan Houston","NC",299,24.9,8,NA,77,0,0,"3.9",0,2008,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8435","Ryan Houston","NC",325,27.1,7,NA,85,60,5,"3.8",0,2011,"RB",5,"12","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8436","Ryan Houston","NC",713,54.8,9,NA,191,82,6.3,"3.7",0,2009,"RB",11,"7.5","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8437","Ryan Jackson","Hous",252,22.9,3,NA,59,102,9.3,"4.3",1,2012,"RB",13,"7.8","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8438","Ryan Kock","IA St",7,3.5,1,NA,3,3,1.5,"2.3",0,2004,"RB",1,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8439","Ryan Kock","IA St",30,5,0,NA,8,6,1,"3.8",0,2003,"RB",3,"2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8440","Ryan Kock","IA St",332,33.2,6,NA,74,82,8.2,"4.5",0,2006,"RB",6,"13.7","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8441","Ryan Kock","IA St",129,11.7,13,NA,54,6,0.5,"2.4",0,2005,"RB",1,"6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8442","Ryan Mathews","Fres",606,75.8,6,NA,113,146,18.3,"5.4",2,2008,"RB",8,"18.3","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8443","Ryan Mathews","Fres",866,78.7,14,NA,145,0,0,"6",0,2007,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8444","Ryan Mathews","Fres",1808,150.7,19,NA,276,122,10.2,"6.6",0,2009,"RB",11,"11.1","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8445","Ryan McCants","OR St",13,4.3,0,NA,4,5,1.7,"3.3",0,2010,"RB",1,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8446","Ryan McCants","OR St",25,6.3,0,NA,6,4,1,"4.2",0,2009,"RB",1,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8447","Ryan McCants","OR St",337,30.6,2,NA,85,30,2.7,"4",0,2008,"RB",6,"5","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8448","Ryan Misare","AFA",3,3,0,NA,1,0,0,"3",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8449","Ryan Moats","LT",1300,108.3,10,NA,199,251,20.9,"6.5",1,2003,"RB",27,"9.3","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8450","Ryan Moats","LT",1774,147.8,18,NA,288,116,9.7,"6.2",1,2004,"RB",15,"7.7","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
