Institution ID,Institution,Game Date,Uniform Number,Last Name,First Name,Rushing,,,,,Passing,,,,,,Total Off.,,Receiving,,,Pass Int,,,Fumble Ret,,,Punting,,Punt Ret,,,KO Ret,,,Total TD,Off xpts,,,,Def xpts,,,,FG,,Saf,Points
,,,,,,Rushes,Gain,Loss,Net,TD,Att,Cmp,Int,Yards,TD,Conv,Plays,Yards,No.,Yards,TD,No.,Yards,TD,No.,Yards,TD,No.,Yards,No.,Yards,TD,No.,Yards,TD,,Kicks Att,Kicks Made,R/P Att,R/P Made,Kicks Att,Kicks Made,Int/Fum Att,Int/Fum Made,Att,Made,,
721,Air Force,10/14/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,18,BOYEA,KEITH,7,30,6,24,1,7,3,1,27,0,0,14,51,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,9/9/2000,18,BOYEA,KEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,18,BOYEA,KEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,18,BOYEA,KEITH,2,,8,-8,,1,,,,,,3,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,18,BOYEA,KEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,18,BOYEA,KEITH,1,0,2,-2,0,,,,,,,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,18,BOYEA,KEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,18,BOYEA,KEITH,2,0,1,-1,0,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,18,BOYEA,KEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,18,BOYEA,KEITH,3,13,0,13,0,,,,,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,15,BRAZIER,JOE,1,1,0,1,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,15,BRAZIER,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,25,BROWN,QUALARIO,3,43,0,43,1,,,,,,,3,43,1,15,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,9/9/2000,25,BROWN,QUALARIO,10,59,4,55,,,,,,,,10,55,3,38,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,12
721,Air Force,9/23/2000,25,BROWN,QUALARIO,8,41,,41,,,,,,,,8,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,25,BROWN,QUALARIO,8,34,2,32,,,,,,,,8,32,1,18,,,,,,,,,,,,,1,28,,,,,,,,,,,,,,
721,Air Force,10/7/2000,25,BROWN,QUALARIO,1,9,0,9,0,,,,,,,1,9,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,
721,Air Force,10/14/2000,25,BROWN,QUALARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,25,BROWN,QUALARIO,6,25,0,25,0,,,,,,,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,25,BROWN,QUALARIO,11,47,5,42,0,,,,,,,11,42,2,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,25,BROWN,QUALARIO,9,36,0,36,0,,,,,,,9,36,1,5,0,,,,,,,,,,,,4,82,,,,,,,,,,,,,,
