Name,Team,G,,Rush,Yds,Y/G,Avg,TD,,Rec,Yds,Y/G,Avg,Lng,TD
 Brandon Hicks,WKU,1,,1,3,3,3,0,,0,0,0,N/A,N/A,0
 Rikki Cook,NC,3,,1,2,0.7,2,0,,2,8,2.7,4,6,1
 Willie Rose,FAU,1,,3,2,2,0.7,0,,1,17,17,17,17,0
 Damon McWhite,Wake,5,,3,2,0.4,0.7,0,,9,54,10.8,6,17,0
 Jason Lamers,Minn,2,,2,2,1,1,2,,0,0,0,N/A,N/A,0
 Kenni Burns,Ind,2,,2,2,1,1,0,,0,0,0,N/A,N/A,0
 Chester Johnson Jr.,ULL,1,,2,1,1,0.5,0,,0,0,0,N/A,N/A,0
 Andiel Brown,Ore,1,,1,1,1,1,0,,0,0,0,N/A,N/A,0
 Clifton Smith,Fres,1,,1,1,1,1,0,,1,16,16,16,16,0
 Ty Eriks,Wash,1,,1,1,1,1,1,,1,0,0,0,0,0
 Kentrel Brooks,MS St,1,,2,1,1,0.5,0,,0,0,0,N/A,N/A,0
 Justin Acierno,Pitt,1,,0,0,0,N/A,0,,2,7,7,3.5,5,1
 Jake Slaughter,Aub,5,,0,0,0,N/A,0,,5,48,9.6,9.6,19,0
 Nick McAfee,MTSU,7,,0,0,0,N/A,0,,7,81,11.6,11.6,22,2
 Rendrick Taylor,Clem,6,,0,0,0,N/A,0,,9,69,11.5,7.7,21,0
 Justin Sprowles,UK,1,,0,0,0,N/A,0,,1,1,1,1,1,0
 Russell Dennison,Okla,1,,0,0,0,N/A,0,,1,4,4,4,4,0
 Stan White Jr.,OH St,3,,0,0,0,N/A,0,,3,21,7,7,11,0
 Matt Vogele,Mia O,2,,0,0,0,N/A,0,,2,5,2.5,2.5,4,1
 Brian Thompson,Mich,5,,0,0,0,N/A,0,,6,41,8.2,6.8,11,2
 Ricardo Dickerson,Md,1,,0,0,0,N/A,0,,1,7,7,7,7,0
 Spencer Dye,Kent,1,,0,0,0,N/A,0,,1,4,4,4,4,0
 Brandon Kennedy,Ark,2,,0,0,0,N/A,0,,2,9,4.5,4.5,6,0
 Ajenavi Eziemefe,GT,1,,0,0,0,N/A,0,,1,2,2,2,2,0
 Mark Palmer,BC,5,,0,0,0,N/A,0,,8,40,8,5,9,0
 Tim Cesa,Md,1,,0,0,0,N/A,0,,1,5,5,5,5,0
 Brad Salyer,Ball,4,,0,0,0,N/A,0,,9,38,9.5,4.2,9,2
 Tony Milton,Ga,2,,0,0,0,N/A,0,,4,16,8,4,9,0
 Kyle Bennett,Ala,1,,0,0,0,N/A,0,,1,3,3,3,3,0
 Jesse Allen,VT,3,,0,0,0,N/A,0,,3,15,5,5,7,1
